Event_No,Source_File,Wave Raw_Min,Wave Raw_Max,Wave Raw_Mean,Wave Raw_Median,Wave Raw_Std_Dev,Wave Filtered_Min,Wave Filtered_Max,Wave Filtered_Mean,Wave Filtered_Median,Wave Filtered_Std_Dev,Wave Frequency_Min,Wave Frequency_Max,Wave Frequency_Mean,Wave Frequency_Median,Wave Frequency_Std_Dev,X Acc Raw_Min,X Acc Raw_Max,X Acc Raw_Mean,X Acc Raw_Median,X Acc Raw_Std_Dev,X Acc Filtered_Min,X Acc Filtered_Max,X Acc Filtered_Mean,X Acc Filtered_Median,X Acc Filtered_Std_Dev,Y Acc Raw_Min,Y Acc Raw_Max,Y Acc Raw_Mean,Y Acc Raw_Median,Y Acc Raw_Std_Dev,Y Acc Filtered_Min,Y Acc Filtered_Max,Y Acc Filtered_Mean,Y Acc Filtered_Median,Y Acc Filtered_Std_Dev,Z Acc Raw_Min,Z Acc Raw_Max,Z Acc Raw_Mean,Z Acc Raw_Median,Z Acc Raw_Std_Dev,X Displacement_Min,X Displacement_Max,X Displacement_Mean,X Displacement_Median,X Displacement_Std_Dev,Y Displacement_Min,Y Displacement_Max,Y Displacement_Mean,Y Displacement_Median,Y Displacement_Std_Dev,X Velocity_Min,X Velocity_Max,X Velocity_Mean,X Velocity_Median,X Velocity_Std_Dev,Y Velocity_Min,Y Velocity_Max,Y Velocity_Mean,Y Velocity_Median,Y Velocity_Std_Dev,X Frequency,Y Frequency
E571_processed,E571_processed,21.574589,22.28159,21.921831723500002,21.928097,0.09351839195266975,-0.3565192933876999,0.3447878564456509,-7.097509197351155e-05,0.0006635602594987989,0.09240495650709782,0.2099609375,0.2099609375,0.2099609375,0.2099609375,0.0,-99.657249,69.499092,-13.880794484558857,-13.900795,25.565452145057467,-85.66577950661826,91.578537098823,0.04072600056819413,-0.02482155970046884,25.643982788118453,-109.75941,71.113846,-20.934016752314566,-20.5595445,24.867427564005343,-88.83224371943083,92.24421306516766,-0.009085338854733114,0.33334866991161083,24.87713188380858,3809.5432,3857.7539,3834.7848489444436,3834.5413,6.232262294369701,-117.7991889119507,72.50533568043105,-0.06539116804727203,-0.07189099811785717,14.58582682047015,-43.8196263389608,46.35408752120218,0.016004376531620675,0.0052423035376039095,13.539173250549615,0.0,179.149732161,112.33157413442524,112.3011223946747,18.630644299615525,-43.53199003656058,73.76057743398248,15.218023386465495,14.967429879418596,18.07958065202018,0.203857421875,0.203857421875
E572_processed,E572_processed,-16.227907,70.487907,1.9007604041911665,0.0,7.255990759674728,-34.95973864431375,33.60611620995322,-0.0001512790745133257,4.350643331439102e-14,1.896048596087049,0.0634765625,0.0634765625,0.0634765625,0.0634765625,0.0,-92.530151,67.39621,-13.829178261946517,-13.754467,22.191385044330932,-78.74258683345828,81.2470898406732,0.004313953428683248,0.07312356609863174,22.19851392201798,-108.5225,54.742432,-20.88297662348122,-20.6129355,20.955693752183798,-87.36316994342963,75.70874531083754,-0.03875277684227659,0.19663014600671555,20.979414591885615,3813.1143,3854.1826,3834.5250064888887,3834.5413,5.076632174819547,-36.45708842281049,41.3429357693406,0.02321807365270585,-0.0004339194169388355,12.052505786346458,-41.46442669343948,55.30783317821153,0.04505920515217494,-0.04920383864726885,11.752779445114603,-64.94519160119643,36.3983466481487,-14.802483099587523,-14.807284542724695,15.910296728165276,-92.74606081744726,9.433542076736538,-40.26529889857708,-40.20983490467863,15.275842529680713,0.1885986328125,0.1885986328125
E573_processed,E573_processed,21.442017,24.270035,21.880144712611113,21.883652,0.09240256175284814,-0.4334828000878529,2.333609226025744,-0.00030608724148487444,-0.0006386052789114976,0.09157440166125642,0.2099609375,0.2099609375,0.2099609375,0.2099609375,0.0,-97.661057,69.469131,-13.806259973934322,-13.769467500000001,22.948531113570557,-83.84522516737526,83.17490426137311,0.0442855138056396,0.03577898639955224,22.978369064275206,-108.25309,57.082809,-21.026943932126947,-20.8015585,21.364330710269076,-86.71511146374803,78.28167320952448,-0.030093183062239782,0.18039958002206363,21.37266059125424,3809.5432,3855.9683,3834.410580327778,3834.5413,5.215998941251136,-44.57823500998676,39.7717089715138,-0.036066375180110175,-0.05611617051822804,12.738442682387182,-42.33776928535305,59.93584941970505,0.047677243280391524,-0.12142191706861641,12.033851196863983,-12.22285903995494,93.90621370134116,41.15056545983483,41.12110357376747,16.674333796425042,-92.29383922614062,19.07729865249706,-39.47251090825185,-39.40208957480349,15.576604310251367,0.2069091796875,0.2069091796875
E574_processed,E574_processed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99.81147,66.753738,-13.9031393432376,-13.600516500000001,21.162763203609664,-85.62493023292092,80.89802430014537,0.018645034951730685,0.31429081382883617,21.172345672829632,-95.323853,49.690948,-21.234346304358034,-21.176383,19.28297698041969,-74.15131424886549,70.72563886130636,0.016515906677854252,0.07365383565106542,19.28645365684974,3813.1143,3855.0754,3833.835780005556,3833.6484,4.595895730703374,-55.95641874393476,40.80638204624932,-0.04069180614516781,-0.0291021251484552,11.416451598732257,-37.14724568963468,36.18494948774577,-0.021039129633448332,-0.09012841090630364,10.419483818722455,-3.480179817030832,103.4242930495921,46.57030245331699,46.765112466306476,14.988352148915167,-21.71116791678375,75.64644122320438,26.72975579965669,26.854637117037054,13.80138047481996,0.218505859375,0.2069091796875
E575_processed,E575_processed,0.0,21.883911,0.0012157728333333335,0.0,0.16311304203185134,-22.12967515727499,4.043903038551987,-0.014964858309415068,-3.285616500890117e-17,0.6183174335533188,0.0,0.0,0.0,0.0,0.0,-95.585182,56.409618,-14.083328672223391,-14.1550695,20.076384246707132,-81.42744473925231,70.80696654336097,0.008183102581809815,-0.1179780608968568,20.078304102472167,-92.043297,47.244411,-21.407649477914124,-21.391889499999998,18.723710098099556,-78.8056575041514,68.80899231357498,-0.021682558497369987,-0.0173404397939546,18.78869210241564,3814.0071,3852.3972,3833.4284716999996,3832.7556,4.345323344340978,-36.59260169030539,43.75704250825564,-0.004903681493035254,-0.06145891276355209,10.852867373523559,-46.42328815967887,51.09798662018518,0.004554052565002812,0.09197532613714732,10.16005550217875,-27.04552557772451,71.97037623470699,22.715297859175003,22.810000007632894,14.321893846018122,-38.24832094352739,99.03614325987728,22.242158274815626,22.368576718721343,13.555771946884256,0.213623046875,0.213623046875
E576_processed,E576_processed,21.484592,23.318924,21.89121213555556,21.883923,0.08989975300650359,-0.3793813397096806,1.364034304610103,-8.851798009648797e-05,-0.0006061481753508774,0.08874231441581334,0.21484375,0.21484375,0.21484375,0.21484375,0.0,-84.41404,59.706837,-14.334420319206796,-14.032928,20.317415610345172,-69.99806509845511,74.07550685019343,0.03091950651320149,0.26720277469440734,20.322754800785887,-98.310379,46.736401,-21.526958335007293,-21.204292000000002,19.184092159652504,-76.8550795942181,68.41776327876231,-0.01906763645759303,0.31509538260373426,19.18376711310912,3816.6853,3848.8257,3833.0804304,3832.7556,4.354897026747472,-47.0680733712421,41.59356302127128,-0.0036716485120282857,-0.07737440415408736,11.055160972390592,-36.81463948409346,67.72843313927241,0.05010250719337781,-0.03051000941472992,10.568054270743623,-59.91714294308737,54.87633213188278,2.749184755534789,2.831516316487634,14.552006965984907,-84.57141714416782,14.73375152474729,-33.67666404240656,-33.695428494241405,13.72718509573009,0.211181640625,0.2392578125
E577_processed,E577_processed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.98453,63.16444,-14.512516154074566,-14.3379255,22.993625902056586,-86.4056366410995,77.88605998113468,-0.041783169395120265,0.1549599064055337,22.990740798515937,-97.932495,53.830624,-21.616046377295635,-21.6334735,19.159820945804814,-76.1759419952802,75.4375514076905,-0.009247775155741692,-0.09394013911011134,19.1744014139826,3814.8999,3850.6116,3832.4650458000006,3832.7556,4.598519540703423,-42.61060354264423,45.71826788987568,0.02676620427756027,-0.0756016518136553,12.676767044819783,-37.58217073306393,41.75948544058005,0.021897824736121348,0.07507952970041609,10.722436020895888,-104.7184693799538,7.813862742425296,-47.680604255494565,-47.73677164216926,16.593383452376262,-85.15433032646948,14.42427020653662,-37.61529292296645,-37.58773982912005,13.91352674937287,0.233154296875,0.206298828125
E578_processed,E578_processed,0.0,21.835831,0.0012131017222222222,0.0,0.16275467487065737,-22.08105520165577,4.035018390058786,-0.014931979798969491,9.28427499979494e-18,0.6169589605550961,0.0,0.0,0.0,0.0,0.0,-82.527298,54.52174,-14.5715036695152,-14.335638,20.708549633371668,-68.1151710624373,69.10735117862201,0.024647561761940603,0.24585257259703594,20.73085533933572,-111.85287,69.95507,-21.873077171873117,-21.714201,19.00957703106036,-93.3035213190198,86.6179077925899,0.06465794560312743,0.1849954495509394,19.086330341945015,3811.3286,3855.9683,3831.962255088889,3831.8628,4.412557868382444,-63.24352766268546,56.47248999085434,-0.030604073274287026,-0.11091149145838039,11.610543251005616,-124.3268792260955,96.68689464856105,-0.08339171977736974,-0.09406458678932439,11.290674318401466,0.0,113.6805371460397,65.89197114791692,65.83605715117244,14.979362224455775,0.0,178.8393502436369,93.31912270272906,93.3460850734269,13.787161826063759,0.22216796875,0.2362060546875
E579_processed,E579_processed,21.571289,23.472595,21.89101409833333,21.882648,0.09022035336673863,-0.374457479941696,1.502662986348836,-5.562584618583598e-05,-0.001683242799483877,0.08932465518791134,0.205078125,0.205078125,0.205078125,0.205078125,0.0,-82.287697,51.302181,-14.75683347609585,-14.734124,20.02783196597889,-67.69388894775656,65.97365392129613,0.013195914547086757,0.01920172803942244,20.01701709325581,-104.35392,57.860931,-22.102239101211154,-22.063749,18.18643403285464,-82.34591511256741,80.2070209688647,-0.015287017049706609,0.08002681478698959,18.196869471113978,3811.3286,3849.7185,3831.8036386444446,3831.8628,4.2269833476162635,-39.3955416137694,43.50145502028077,-0.003425233681301304,-0.023759833154867294,10.966685770155369,-36.04076752509404,38.93665626182261,0.004104322083005142,0.01407203717908231,9.421743095401185,-18.3835085697681,81.93000104966258,32.482828805819935,32.53442634815353,14.341367266977482,-52.20530056635347,47.7562419675091,-1.5476236648060868,-1.594394714236056,12.768276082150422,0.205078125,0.240478515625
E580_processed,E580_processed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.497696,51.197086,-14.87526558177459,-14.526960500000001,19.18430991731149,-67.64653131051229,66.25687826082896,0.028022230977540658,0.35938859980275684,19.22767043879437,-102.6852,60.976902,-22.12643337706558,-21.955702,17.69603317052656,-80.53045187444113,83.17922190776929,-0.024543609245174878,0.15216908657511885,17.70172909672203,3811.3286,3847.9329,3831.4883363888894,3830.9702,3.9856311072960198,-78.11370189052231,56.67534870037375,-0.044643427033813306,-0.024487998572214394,10.923492002930297,-35.2974823149642,37.68781326059587,0.024919350534344013,-0.08934930182515766,9.181911806079205,0.0,124.7153705351874,73.89200455548323,73.95484722872777,13.872316575064742,-63.33768335369844,39.85183238930286,-10.77373455506934,-10.70993849130822,12.420050926236618,0.2294921875,0.2423095703125
E581_processed,E581_processed,0.0,22.013638,0.0012229798888888888,0.0,0.16407997000024171,-22.26085903794092,4.067875143517385,-0.015053569425177655,-1.7710505368903657e-17,0.6219827960076161,0.0,0.0,0.0,0.0,0.0,-80.344269,44.20126,-14.877419543987076,-14.7873805,17.0768815253342,-65.44271700928059,59.11303203071096,-0.02270582128825821,0.06595907614509178,17.082543064787345,-82.395599,34.613567,-22.039531951230884,-22.009449,16.43679692977419,-60.40718517631697,56.78072288755195,-0.002671002282912203,0.027669897219460254,16.465971592607897,3816.6853,3847.9329,3831.4846221555554,3830.9702,3.5929395518210554,-30.82222902065185,30.75851895099659,0.015708804381163545,0.08224409565259228,9.165714794897147,-44.55818876595374,33.82685998099817,-0.011162937485911155,-0.0859901824201833,8.331745037268323,-59.31128008297582,26.91192197467978,-15.103887790635321,-15.23557007628809,12.106003772616873,-4.554398170523841,87.40012740710485,37.4053195243404,37.381460147828655,11.332350673902502,0.2117919921875,0.2117919921875
E582_processed,E582_processed,21.660736,22.235962,21.963844092833334,21.969463,0.08134598421997813,-0.3119120569250885,0.2846473231195326,-7.226711980488259e-05,-0.00036165847630494763,0.0804298095217812,0.2978515625,0.2978515625,0.2978515625,0.2978515625,0.0,-89.095337,45.69128,-14.966282960100598,-14.7707965,17.32481648710067,-74.0596100236227,60.65307668017893,-0.009282872176699849,0.19932566988107814,17.324245278366583,-90.780556,37.139946,-21.866804043126233,-21.71467,16.345003386488372,-109.318903433168,59.95661804673338,-0.04175086969901595,0.150199225952624,16.505736410004545,3813.1143,3846.1475,3831.8961490499996,3831.8628,3.647048846765682,-30.47267925674133,31.53294552596206,0.0011893035395945206,-0.11159014495376215,9.24036141625269,-62.49081493383452,71.05303544386388,0.02249062751932484,0.012716317791022561,8.941959425680551,-31.28920294143982,49.16490194911572,6.71133731030717,6.606310314987691,12.22134107694832,-73.92861321112663,113.4145940658584,15.808518013094545,15.630329829954285,12.025369824559483,0.235595703125,0.2545166015625
E583_processed,E583_processed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-81.462097,39.626381,-14.960212322234442,-14.6307595,16.843588435604158,-66.51831958561166,54.74669441313009,0.008522937567543892,0.37349697134120563,16.858423009590332,-71.536957,34.935745,-21.575461111582,-21.552477,15.271990141948256,-78.54975495286838,56.67495749502677,-0.08219913749122675,0.0017229707826794671,15.395761920283089,3818.4709,3846.1475,3832.2036684833333,3832.7556,3.559900847682803,-33.00288771388348,31.42284108221759,-0.005275105462148389,-0.009786772472349381,9.461911761600623,-65.47035033108915,115.269606868797,0.09929621995721043,0.06101001414542351,9.79322485508122,-5.893143173133099,78.33045300159279,36.82005899937736,36.92579921044016,12.124998121887105,-156.1557117302484,0.0,-98.26687101758523,-98.33222740252063,11.395644786250479,0.21728515625,0.24169921875
E584_processed,E584_processed,0.0,22.07769,0.0012265383333333333,0.0,0.16455738542055778,-22.32563036483916,4.079711239679994,-0.015097370056485543,-1.64770643412873e-17,0.6237925487621714,0.0,0.0,0.0,0.0,0.0,-76.061279,37.605133,-14.853026440741695,-14.766293999999998,16.511727556359368,-61.38243148867336,52.65903860683932,-0.02291866256223618,0.07635016222743757,16.521745305156475,-85.376686,40.256302,-21.342404000962112,-21.229959,14.618867306098851,-64.20113872097068,61.84351992084222,-0.03170813715816863,0.09041628199718199,14.651224515055306,3814.0071,3847.0403,3832.6807694722224,3832.7556,3.412576002809828,-45.04985255225624,62.86603392377683,0.04240294437305062,-0.17416565204243445,9.47217554738899,-50.54930126662029,90.79145654436402,0.06509792453258177,-0.043734805696454604,8.54741518818445,-102.2109922604944,0.0,-51.19466792513188,-51.23823613836869,11.77900790784616,-107.5875576852712,0.0,-61.654082003371585,-61.52955074871872,10.37122148916816,0.22216796875,0.2508544921875
