Feature,Count,Mean,Std,Min,P25,Median,P75,Max,Skew,Kurt
X Frequency,528,0.20954,0.01565,0.188,0.188,0.213,0.225,0.225,-0.294,-1.609
Y Frequency,528,0.20828,0.0163,0.175,0.188,0.213,0.225,0.225,-0.22,-1.531
Hs (m),528,0.94484,0.65413,0.2757,0.4031,0.91765,1.33621,7.40142,3.525,27.337
Tz (s),528,4.09566,2.00988,2.23396,3.31343,4.02861,4.37713,30.3,8.969,99.569
X Velocity_Std_Dev,528,33.50254,16.49967,8.89475,17.79977,35.90589,47.35697,70.89724,0.2,-1.3
Y Velocity_Std_Dev,528,35.28524,19.87328,8.74129,16.03483,33.68076,52.62896,75.99235,0.305,-1.297
X Displacement_Std_Dev,528,27.37389,13.87758,7.64522,14.38277,28.78673,38.93913,62.71109,0.304,-1.179
Y Displacement_Std_Dev,528,29.35519,17.57286,6.85769,12.79098,26.58318,45.42021,65.40151,0.376,-1.289
X Acc Raw_Mean,528,-12.78926,5.3406,-24.22535,-16.13568,-14.12722,-10.08101,4.89439,0.975,0.811
Y Acc Raw_Mean,528,-7.69258,14.73134,-28.00167,-18.05465,-14.05435,-0.54438,38.54577,1.201,0.58
X Acc Filtered_Std_Dev,528,44.7218,21.3089,12.61002,23.61274,47.76189,62.11964,90.60173,0.126,-1.347
Y Acc Filtered_Std_Dev,528,46.05136,24.47159,12.52824,21.35645,45.72863,67.85102,95.504,0.219,-1.329
