Feature,Range,Variance,Std_Dev,IQR,Coeff_Variation_%,Mean_Abs_Deviation,Std_Error_of_Mean
X Frequency,0.037,0.00024,0.01565,0.037,7.467,0.01455,0.00068
Y Frequency,0.05,0.00027,0.0163,0.037,7.825,0.01524,0.00071
Hs (m),7.12572,0.42788,0.65413,0.93311,69.232,0.47093,0.02847
Tz (s),28.06604,4.0396,2.00988,1.0637,49.073,0.76883,0.08747
X Velocity_Std_Dev,62.00249,272.23898,16.49967,29.55719,49.249,14.83217,0.71806
Y Velocity_Std_Dev,67.25106,394.94733,19.87328,36.59412,56.322,17.62306,0.86487
X Displacement_Std_Dev,55.06587,192.58727,13.87758,24.55636,50.696,12.40727,0.60394
Y Displacement_Std_Dev,58.54382,308.80555,17.57286,32.62923,59.863,15.62968,0.76476
X Acc Raw_Mean,29.11975,28.52204,5.3406,6.05468,-41.758,4.10138,0.23242
Y Acc Raw_Mean,66.54744,217.01248,14.73134,17.51028,-191.501,11.88161,0.6411
X Acc Filtered_Std_Dev,77.99171,454.06922,21.3089,38.5069,47.648,19.12858,0.92735
Y Acc Filtered_Std_Dev,82.97576,598.85875,24.47159,46.49457,53.14,21.64079,1.06499
