Overall_Rank,Feature,r_vs_X Frequency,R2_vs_X Frequency,r_vs_Y Frequency,R2_vs_Y Frequency,Avg_R2,Rank_vs_X Frequency,Rank_vs_Y Frequency
1,X Acc Filtered_Median,0.3343,0.1117,0.2329,0.0543,0.083,1,13
2,Z Acc Raw_Std_Dev,-0.1041,0.0108,-0.358,0.1282,0.0695,6,1
3,Y Displacement_Std_Dev,-0.0787,0.0062,-0.3405,0.116,0.0611,13,2
4,Y Acc Filtered_Median,-0.2129,0.0453,-0.2477,0.0613,0.0533,3,11
5,Y Velocity_Std_Dev,-0.0499,0.0025,-0.3091,0.0955,0.049,24,3
6,Z Acc Raw_Max,-0.0452,0.002,-0.2657,0.0706,0.0363,26,7
7,Y Displacement_Min,0.0651,0.0042,0.2612,0.0682,0.0362,17,9
8,X Displacement_Std_Dev,-0.0349,0.0012,-0.2648,0.0701,0.0357,34,8
9,Y Acc Filtered_Min,0.0031,0.0,0.2667,0.0711,0.0356,58,4
10,Y Acc Raw_Std_Dev,-0.0091,0.0001,-0.266,0.0708,0.0354,47,5
11,Y Acc Filtered_Std_Dev,-0.0089,0.0001,-0.2657,0.0706,0.0353,48,6
12,Y Acc Raw_Min,0.0006,0.0,0.2502,0.0626,0.0313,59,10
13,Y Displacement_Max,-0.0212,0.0005,-0.2447,0.0599,0.0302,41,12
14,X Displacement_Median,-0.2304,0.0531,-0.08,0.0064,0.0297,2,38
15,X Velocity_Std_Dev,0.0052,0.0,-0.2294,0.0526,0.0263,53,14
16,Y Acc Raw_Max,0.0297,0.0009,-0.2272,0.0516,0.0263,36,15
17,Z Acc Raw_Min,0.0298,0.0009,0.2177,0.0474,0.0241,35,16
18,Y Velocity_Max,-0.0872,0.0076,-0.2005,0.0402,0.0239,9,20
19,Y Acc Filtered_Max,0.0353,0.0012,-0.2126,0.0452,0.0232,33,17
20,X Acc Raw_Max,0.0198,0.0004,-0.21,0.0441,0.0222,42,18
21,X Acc Filtered_Max,0.0225,0.0005,-0.2032,0.0413,0.0209,39,19
22,Hs (m),0.0955,0.0091,-0.1712,0.0293,0.0192,7,26
23,X Acc Raw_Std_Dev,0.055,0.003,-0.1872,0.0351,0.019,20,21
24,X Acc Filtered_Std_Dev,0.0552,0.003,-0.187,0.035,0.019,19,22
25,Y Displacement_Median,0.0502,0.0025,0.1843,0.034,0.0182,23,23
26,X Displacement_Max,0.0403,0.0016,-0.1828,0.0334,0.0175,31,24
27,X Velocity_Min,0.0109,0.0001,0.1807,0.0326,0.0164,45,25
28,X Acc Filtered_Min,-0.1263,0.0159,0.1113,0.0124,0.0142,4,29
29,X Acc Raw_Min,-0.1202,0.0144,0.1056,0.0112,0.0128,5,34
30,X Displacement_Min,-0.0483,0.0023,0.1221,0.0149,0.0086,25,28
31,Y Velocity_Min,-0.0677,0.0046,0.1043,0.0109,0.0077,16,35
32,X Acc Raw_Mean,0.0066,0.0,-0.1234,0.0152,0.0076,49,27
33,Y Acc Raw_Median,-0.053,0.0028,-0.106,0.0112,0.007,21,33
34,X Velocity_Median,0.0437,0.0019,0.1087,0.0118,0.0069,27,30
35,Y Acc Filtered_Mean,-0.0897,0.0081,-0.0752,0.0056,0.0068,8,41
36,X Velocity_Mean,0.0436,0.0019,0.1085,0.0118,0.0068,28,31
37,X Displacement_Mean,-0.0415,0.0017,-0.1066,0.0114,0.0065,29,32
38,X Acc Filtered_Mean,0.0515,0.0026,0.1005,0.0101,0.0064,22,36
39,Tz (s),0.0782,0.0061,-0.077,0.0059,0.006,14,39
40,X Acc Raw_Median,0.0707,0.005,-0.0753,0.0057,0.0053,15,40
41,Y Displacement_Mean,0.0857,0.0073,0.045,0.002,0.0047,10,45
42,Y Acc Raw_Mean,-0.0377,0.0014,-0.0887,0.0079,0.0046,32,37
43,Y Velocity_Mean,-0.0815,0.0066,-0.0407,0.0017,0.0041,11,46
44,Y Velocity_Median,-0.079,0.0062,-0.0372,0.0014,0.0038,12,47
45,Z Acc Raw_Mean,-0.0228,0.0005,-0.066,0.0044,0.0024,38,42
46,Wave Filtered_Median,0.0233,0.0005,-0.0654,0.0043,0.0024,37,43
47,Z Acc Raw_Median,-0.0222,0.0005,-0.065,0.0042,0.0024,40,44
48,X Velocity_Max,0.0617,0.0038,0.0107,0.0001,0.002,18,60
49,Wave Filtered_Mean,-0.0414,0.0017,-0.0229,0.0005,0.0011,30,48
50,Wave Raw_Mean,-0.0187,0.0003,-0.0178,0.0003,0.0003,43,55
51,Wave Raw_Median,-0.0171,0.0003,-0.0181,0.0003,0.0003,44,54
52,Wave Frequency_Mean,0.0048,0.0,-0.02,0.0004,0.0002,54,49
53,Wave Frequency_Max,0.0048,0.0,-0.02,0.0004,0.0002,54,49
54,Wave Frequency_Median,0.0048,0.0,-0.02,0.0004,0.0002,54,49
55,Wave Frequency_Min,0.0048,0.0,-0.02,0.0004,0.0002,54,49
56,Wave Filtered_Min,-0.0055,0.0,-0.0189,0.0004,0.0002,50,53
57,Wave Raw_Min,-0.0101,0.0001,-0.0153,0.0002,0.0002,46,58
58,Wave Raw_Max,-0.0052,0.0,0.0165,0.0003,0.0001,52,56
59,Wave Raw_Std_Dev,0.0,0.0,0.0164,0.0003,0.0001,61,57
60,Wave Filtered_Max,0.0003,0.0,0.0136,0.0002,0.0001,60,59
61,Wave Filtered_Std_Dev,0.0054,0.0,0.003,0.0,0.0,51,61
62,Wave Frequency_Std_Dev,,,,,,,
