Feature,Composite_Score,Avg_Spearman_norm,Avg_PermImportance_norm
X Acc Filtered_Median,0.2518764612737648,0.19485456516356417,0.36487090433369085
Z Acc Raw_Min,0.07727735942113885,0.03791806982512027,0.16668498282908964
Y Acc Filtered_Median,0.045514933016620684,0.10782164117926976,0.02508967914229593
Hs (m),0.039638652897324156,0.04440320343430994,0.1384451589720422
X Displacement_Median,0.02479918187100902,0.1161881298869373,0.01395314611003066
X Acc Filtered_Mean,0.015553263472862441,0.04114822122963036,0.0
Z Acc Raw_Max,0.018043308821555373,0.04935248229670685,0.03661144495843596
Wave Frequency_Mean,0.010310440633209109,0.00782257061261163,0.03340553602105391
Y Acc Raw_Mean,0.009808507687756669,0.03873594915111769,0.022046608591170982
Y Acc Filtered_Mean,0.008333911642014604,0.019946688050920897,0.008630186610405162
