Feature,Composite_Score,Avg_Spearman_norm,Avg_PermImportance_norm
X Acc Filtered_Median,0.17675082758672833,0.19485456516356417,0.19792505169583216
Y Acc Raw_Mean,0.07409244966492418,0.03873594915111769,0.13393233473224858
X Velocity_Min,0.0543982588973445,0.039872812300943576,0.09586705621672764
Y Acc Filtered_Median,0.04905911421103039,0.10782164117926976,0.031078786535265628
Z Acc Raw_Max,0.04495802585111411,0.04935248229670685,0.1174734976563748
X Displacement_Median,0.037647248934258075,0.1161881298869373,0.018338970840416857
Z Acc Raw_Min,0.03218869252863446,0.03791806982512027,0.08608721123995544
Hs (m),0.02442402500874076,0.04440320343430994,0.09409445519471238
Wave Raw_Std_Dev,0.02149314186040373,0.013352654358494162,0.07103779368228713
X Acc Filtered_Mean,0.011365443931666504,0.04114822122963036,0.007395388513577272
