Feature,Composite_Score,Avg_Spearman_norm,Avg_PermImportance_norm
X Acc Filtered_Median,0.08768455432360388,0.19485456516356417,0.0
Y Acc Filtered_Median,0.024028695653891503,0.10782164117926976,0.0
X Acc Filtered_Mean,0.013385791560141396,0.04114822122963036,0.0
X Displacement_Median,0.02464150957181969,0.1161881298869373,0.0
Y Acc Raw_Mean,0.013147359356153642,0.03873594915111769,0.0
Wave Raw_Mean,0.004599685711627282,0.031148151236018953,0.0
Y Acc Filtered_Mean,0.0036295460430145823,0.019946688050920897,0.0
Hs (m),0.004273811050234187,0.04440320343430994,0.0
X Displacement_Mean,0.004446095523209046,0.037925216652773985,0.0
Z Acc Raw_Max,0.0012836667088381506,0.04935248229670685,0.0
