Feature,Composite_Score,Avg_Spearman_norm,Avg_PermImportance_norm
X Acc Filtered_Median,0.18802766592881187,0.19485456516356417,0.22298469245601776
Hs (m),0.08104680803814633,0.04440320343430994,0.21788931734495676
Y Acc Filtered_Median,0.03117004405945685,0.10782164117926976,0.01562326582555161
Z Acc Raw_Min,0.04299902482298811,0.03791806982512027,0.1210194020689845
Z Acc Raw_Max,0.02550223285155692,0.04935248229670685,0.065744614316442
X Displacement_Median,0.027036330284311738,0.1161881298869373,0.011420486026494887
X Velocity_Min,0.02361795572477233,0.039872812300943576,0.06363753961680578
Wave Raw_Std_Dev,0.017482777635396064,0.013352654358494162,0.06545270846296916
X Displacement_Mean,0.013195476400739954,0.037925216652773985,0.017149977194692655
Tz (s),0.016363447991156875,0.04140073020272669,0.06649963932906476
