TOB3,67953,CR1000,67953,CR1000.Std.32.05,CPU:1301269T.CR1,25943,9/27/2021 13:39
,,,,,,,
,,,,,,,
Scan Number,Date,Time,X_Accel,Y_Accel,Z_Accel,Wave_Radar,
,,,mm/s^2,mm/s^2,mm/s^2,Meters,
9805960,27/9/2021,1:38:36 PM,-4.94E+00,2.84E+01,3.92E+03,0.00E+00,
9805961,27/9/2021,1:38:36 PM,-1.05E+01,3.40E+01,3.92E+03,0.00E+00,
9805962,27/9/2021,1:38:36 PM,-1.54E+01,3.96E+01,3.92E+03,0.00E+00,
9805963,27/9/2021,1:38:36 PM,-1.93E+01,4.34E+01,3.92E+03,0.00E+00,
9805964,27/9/2021,1:38:36 PM,-2.15E+01,4.61E+01,3.92E+03,0.00E+00,
9805965,27/9/2021,1:38:36 PM,-2.31E+01,4.73E+01,3.92E+03,0.00E+00,
9805966,27/9/2021,1:38:37 PM,-2.33E+01,4.76E+01,3.92E+03,0.00E+00,
9805967,27/9/2021,1:38:37 PM,-2.39E+01,4.67E+01,3.92E+03,0.00E+00,
9805968,27/9/2021,1:38:37 PM,-2.43E+01,4.40E+01,3.92E+03,0.00E+00,
9805969,27/9/2021,1:38:37 PM,-2.38E+01,3.95E+01,3.92E+03,0.00E+00,
9805970,27/9/2021,1:38:37 PM,-2.22E+01,3.48E+01,3.91E+03,0.00E+00,
9805971,27/9/2021,1:38:37 PM,-2.17E+01,3.22E+01,3.92E+03,0.00E+00,
9805972,27/9/2021,1:38:37 PM,-2.03E+01,2.84E+01,3.92E+03,0.00E+00,
9805973,27/9/2021,1:38:37 PM,-1.77E+01,2.31E+01,3.91E+03,0.00E+00,
9805974,27/9/2021,1:38:37 PM,-1.54E+01,1.92E+01,3.91E+03,0.00E+00,
9805975,27/9/2021,1:38:37 PM,-1.28E+01,1.61E+01,3.91E+03,0.00E+00,
9805976,27/9/2021,1:38:38 PM,-1.03E+01,1.31E+01,3.91E+03,0.00E+00,
9805977,27/9/2021,1:38:38 PM,-6.72E+00,9.61E+00,3.91E+03,0.00E+00,
9805978,27/9/2021,1:38:38 PM,-2.34E+00,5.74E+00,3.91E+03,0.00E+00,
9805979,27/9/2021,1:38:38 PM,1.25E+00,2.44E+00,3.91E+03,0.00E+00,
9805980,27/9/2021,1:38:38 PM,5.44E+00,-1.92E+00,3.91E+03,0.00E+00,
9805981,27/9/2021,1:38:38 PM,1.03E+01,-4.98E+00,3.91E+03,0.00E+00,
9805982,27/9/2021,1:38:38 PM,1.54E+01,-6.02E+00,3.91E+03,0.00E+00,
9805983,27/9/2021,1:38:38 PM,1.84E+01,-6.67E+00,3.91E+03,0.00E+00,
9805984,27/9/2021,1:38:38 PM,2.34E+01,-8.30E+00,3.91E+03,0.00E+00,
9805985,27/9/2021,1:38:38 PM,2.74E+01,-8.14E+00,3.91E+03,0.00E+00,
9805986,27/9/2021,1:38:39 PM,2.83E+01,-4.66E+00,3.91E+03,0.00E+00,
9805987,27/9/2021,1:38:39 PM,3.03E+01,-6.19E-02,3.92E+03,0.00E+00,
9805988,27/9/2021,1:38:39 PM,3.09E+01,3.65E+00,3.92E+03,0.00E+00,
