TOB3,67953,CR1000,67953,CR1000.Std.32.05,CPU:1301269T.CR1,25943,2021-09-28 08:09:06,


Scan Number,Date,Time,X_Accel,Y_Accel,Z_Accel,Wave_Radar
,,,mm/s^2,mm/s^2,mm/s^2,Meters
10471960,28/9/2021,8:08:36 AM,-2.0046452E+1,3.9530509E+0,3.8523972E+3,0.0000000E+0
10471961,28/9/2021,8:08:36 AM,-2.1462162E+1,8.7565041E+0,3.8506116E+3,0.0000000E+0
10471962,28/9/2021,8:08:36 AM,-2.1408972E+1,1.2212319E+1,3.8541826E+3,0.0000000E+0
10471963,28/9/2021,8:08:36 AM,-1.9194082E+1,1.3528188E+1,3.8532898E+3,0.0000000E+0
10471964,28/9/2021,8:08:36 AM,-1.7810299E+1,1.2988548E+1,3.8523972E+3,0.0000000E+0
10471965,28/9/2021,8:08:36 AM,-1.6031900E+1,1.2472834E+1,3.8523972E+3,0.0000000E+0
10471966,28/9/2021,8:08:37 AM,-1.4316639E+1,1.2709425E+1,3.8541826E+3,0.0000000E+0
10471967,28/9/2021,8:08:37 AM,-1.1530656E+1,1.3097539E+1,3.8541826E+3,0.0000000E+0
10471968,28/9/2021,8:08:37 AM,-9.3287029E+0,1.1483939E+1,3.8541826E+3,0.0000000E+0
10471969,28/9/2021,8:08:37 AM,-6.6216426E+0,6.6192150E+0,3.8506116E+3,0.0000000E+0
10471970,28/9/2021,8:08:37 AM,-4.9665513E+0,3.2293653E+0,3.8506116E+3,0.0000000E+0
10471971,28/9/2021,8:08:37 AM,-6.0297198E+0,5.9134674E-1,3.8488257E+3,0.0000000E+0
10471972,28/9/2021,8:08:37 AM,-7.7502422E+0,-3.4686300E-1,3.8506116E+3,0.0000000E+0
10471973,28/9/2021,8:08:37 AM,-9.4812870E+0,-5.3269196E-1,3.8506116E+3,0.0000000E+0
10471974,28/9/2021,8:08:37 AM,-1.1346501E+1,-1.6324691E+0,3.8506116E+3,0.0000000E+0
10471975,28/9/2021,8:08:37 AM,-1.3624746E+1,-2.3095486E+0,3.8488257E+3,0.0000000E+0
10471976,28/9/2021,8:08:38 AM,-1.5521529E+1,-2.7602508E+0,3.8497185E+3,0.0000000E+0
10471977,28/9/2021,8:08:38 AM,-1.5363684E+1,-4.2988825E+0,3.8497185E+3,0.0000000E+0
10471978,28/9/2021,8:08:38 AM,-1.3816792E+1,-6.2204671E+0,3.8506116E+3,0.0000000E+0
10471979,28/9/2021,8:08:38 AM,-9.8759022E+0,-8.6900454E+0,3.8515044E+3,0.0000000E+0
10471980,28/9/2021,8:08:38 AM,-6.7189808E+0,-1.1925220E+1,3.8497185E+3,0.0000000E+0
10471981,28/9/2021,8:08:38 AM,-2.5533891E+0,-1.7571491E+1,3.8488257E+3,0.0000000E+0
10471982,28/9/2021,8:08:38 AM,3.0247715E+0,-2.2708124E+1,3.8488257E+3,0.0000000E+0
10471983,28/9/2021,8:08:38 AM,7.1346426E+0,-2.7196001E+1,3.8488257E+3,0.0000000E+0
10471984,28/9/2021,8:08:38 AM,1.0249472E+1,-3.1200155E+1,3.8470403E+3,0.0000000E+0
10471985,28/9/2021,8:08:38 AM,1.2396178E+1,-3.4854958E+1,3.8470403E+3,0.0000000E+0
10471986,28/9/2021,8:08:39 AM,1.3285378E+1,-3.7649799E+1,3.8452546E+3,0.0000000E+0
10471987,28/9/2021,8:08:39 AM,1.1927901E+1,-3.9074100E+1,3.8452546E+3,0.0000000E+0
10471988,28/9/2021,8:08:39 AM,8.3369036E+0,-3.8617249E+1,3.8461475E+3,0.0000000E+0
10471989,28/9/2021,8:08:39 AM,4.4230747E+0,-3.8241020E+1,3.8452546E+3,0.0000000E+0
10471990,28/9/2021,8:08:39 AM,9.8943509E-2,-3.6279251E+1,3.8461475E+3,0.0000000E+0
