Feature,Count,Mean,Std,Min,P25,Median,P75,Max,Skew,Kurt
X Frequency,528,0.20954,0.01565,0.188,0.188,0.213,0.225,0.225,-0.294,-1.609
Y Frequency,528,0.20828,0.0163,0.175,0.188,0.213,0.225,0.225,-0.22,-1.531
Hs (m),528,0.94484,0.65413,0.2757,0.4031,0.91765,1.33621,7.40142,3.525,27.337
Tz (s),528,4.09566,2.00988,2.23396,3.31343,4.02861,4.37713,30.3,8.969,99.569
Wave_Steepness,528,0.05495,0.01898,0.00666,0.03778,0.05709,0.07117,0.09651,-0.129,-1.129
Hydro_Interaction,528,36.35824,39.61394,2.10797,4.97789,25.65807,62.33799,353.13447,2.664,15.222
Horizontal_Displacement_RMS,528,40.31036,22.07937,10.27021,19.30506,39.91731,60.21039,84.32323,0.277,-1.378
X_Acc_Filtered_RMS,528,44.7206,21.30833,12.6097,23.61209,47.76065,62.11794,90.59948,0.126,-1.347
Y_Acc_Filtered_RMS,528,46.05013,24.47093,12.5279,21.35588,45.72738,67.84921,95.5014,0.219,-1.329
X_Acc_Filtered_SpectralCentroid,528,0.23894,0.01518,0.21862,0.22936,0.23461,0.24277,0.30873,1.797,3.162
Y_Acc_Filtered_SpectralCentroid,528,0.23182,0.0168,0.21022,0.22031,0.22634,0.23801,0.29984,1.537,2.16
Z_Acc_Raw_SpectralEntropy,528,0.59479,0.0645,0.43845,0.55002,0.59502,0.63134,0.76968,0.27,-0.095
