Feature,Range,Variance,Std_Dev,IQR,Coeff_Variation_%,Mean_Abs_Deviation,Std_Error_of_Mean
X Frequency,0.037,0.00024,0.01565,0.037,7.467,0.01455,0.00068
Y Frequency,0.05,0.00027,0.0163,0.037,7.825,0.01524,0.00071
Hs (m),7.12572,0.42788,0.65413,0.93311,69.232,0.47093,0.02847
Tz (s),28.06604,4.0396,2.00988,1.0637,49.073,0.76883,0.08747
Wave_Steepness,0.08985,0.00036,0.01898,0.03339,34.539,0.01661,0.00083
Hydro_Interaction,351.02649,1569.26439,39.61394,57.36011,108.954,30.03734,1.72398
Horizontal_Displacement_RMS,74.05302,487.49864,22.07937,40.90533,54.773,19.80385,0.96088
X_Acc_Filtered_RMS,77.98978,454.04499,21.30833,38.50584,47.648,19.12807,0.92733
Y_Acc_Filtered_RMS,82.9735,598.8265,24.47093,46.49333,53.14,21.64021,1.06496
X_Acc_Filtered_SpectralCentroid,0.09011,0.00023,0.01518,0.01341,6.354,0.01083,0.00066
Y_Acc_Filtered_SpectralCentroid,0.08962,0.00028,0.0168,0.0177,7.249,0.0126,0.00073
Z_Acc_Raw_SpectralEntropy,0.33123,0.00416,0.0645,0.08132,10.844,0.05,0.00281
