Feature,Composite_Score,Avg_Spearman_norm,Avg_PermImportance_norm
X_Acc_Raw_PeakFreq1,0.21138846142232678,0.0753704663858614,0.39438167010819813
Y_Acc_Raw_PeakFreq1,0.12956112059796226,0.07311045878637581,0.3719448485922918
Z_Acc_Raw_PeakFreq2,0.004282726130521802,0.011931903097837718,0.0037678367489783304
Y_Acc_Raw_Kurtosis,0.009353570116248641,0.039255047520009176,0.032180971990524526
X_Acc_Raw_PeakFreq3,0.009568944574779432,0.04265749703235876,0.019269568374818444
Tz (s),0.0068508119245996035,0.01024759265502103,0.03785272726698261
Wave_Filtered_CrestFactor,0.002210972113526695,0.0068612458325184545,0.003873769317169224
X_Acc_Raw_Skew,0.005021335662738369,0.06341522483144124,0.0012433798904132533
Z_Acc_Raw_SpectralCentroid,0.003230602168279511,0.051506252839453856,0.011246647484824911
Z_Acc_Raw_Skew,0.0015199631203567203,0.02812847627221153,0.001871077294583232
