Overall_Rank,Feature,r_vs_X Frequency,R2_vs_X Frequency,r_vs_Y Frequency,R2_vs_Y Frequency,Avg_R2,Rank_vs_X Frequency,Rank_vs_Y Frequency
1,Y_Acc_Filtered_PeakFreq1_RollMean3,0.5516,0.3043,0.6917,0.4785,0.3914,5,1
2,X_Acc_Filtered_PeakFreq1,0.6154,0.3787,0.5863,0.3438,0.3613,1,8
3,X_Acc_Raw_PeakFreq1,0.6154,0.3787,0.5863,0.3438,0.3613,1,8
4,Y_Acc_Filtered_PeakFreq1_Refined,0.5079,0.258,0.6808,0.4635,0.3607,9,2
5,Y_Acc_Raw_PeakFreq1_Refined,0.5079,0.2579,0.6808,0.4635,0.3607,10,3
6,Y_Acc_Filtered_PeakFreq1,0.5093,0.2594,0.6772,0.4586,0.359,7,4
7,Y_Acc_Raw_PeakFreq1,0.5093,0.2594,0.6772,0.4586,0.359,7,4
8,X_Acc_Raw_PeakFreq1_Refined,0.6095,0.3715,0.5877,0.3453,0.3584,3,6
9,X_Acc_Filtered_PeakFreq1_Refined,0.6095,0.3715,0.5877,0.3453,0.3584,4,7
10,X_Acc_Filtered_PeakFreq1_Lag1,0.5467,0.2988,0.5514,0.304,0.3014,6,12
11,Y_Acc_Filtered_PeakFreq1_Lag1,0.4794,0.2298,0.5545,0.3074,0.2686,15,11
12,Y_Acc_Filtered_PeakFreq1_Lag2,0.4525,0.2047,0.5757,0.3315,0.2681,16,10
13,X_Acc_Filtered_PeakFreq1_Lag2,0.4811,0.2315,0.5199,0.2703,0.2509,14,14
14,X_Acc_Filtered_Skew,-0.4863,0.2365,-0.4701,0.221,0.2287,12,16
15,X_Acc_Raw_Skew,-0.4822,0.2325,-0.4651,0.2163,0.2244,13,17
16,SpectralCentroid_to_Peak_Ratio,-0.3691,0.1363,-0.5513,0.3039,0.2201,24,13
17,Z_Acc_Raw_SpectralEntropy,0.5034,0.2535,0.3517,0.1237,0.1886,11,28
18,Y_Acc_Filtered_SpectralCentroid,0.397,0.1576,0.4425,0.1958,0.1767,20,19
19,Y_Acc_Raw_SpectralCentroid,0.3968,0.1574,0.4415,0.1949,0.1762,21,20
20,Y_Acc_Filtered_SpectralCentroid_Lag1,0.3871,0.1499,0.4377,0.1916,0.1707,23,21
21,Y_Acc_Filtered_SpectralCentroid_Lag2,0.389,0.1513,0.4288,0.1839,0.1676,22,22
22,X_Acc_Filtered_SpectralCentroid,0.4378,0.1917,0.3784,0.1432,0.1674,17,23
23,X_Acc_Raw_SpectralCentroid,0.437,0.191,0.3766,0.1419,0.1664,18,24
24,Y_Velocity_Skew,-0.3047,0.0928,-0.4717,0.2225,0.1577,31,15
25,Z_Acc_Raw_SpectralCentroid,0.4056,0.1645,0.3089,0.0954,0.13,19,33
26,Z_Acc_Raw_PeakPower1,-0.2349,0.0552,-0.4488,0.2014,0.1283,35,18
27,X_Acc_Raw_PeakFreq3,0.3052,0.0932,0.3007,0.0904,0.0918,26,38
28,X_Acc_Filtered_PeakFreq3,0.3052,0.0932,0.3007,0.0904,0.0918,26,38
29,X_Acc_Raw_PeakFreq3_Refined,0.305,0.093,0.3007,0.0904,0.0917,28,36
30,X_Acc_Filtered_PeakFreq3_Refined,0.305,0.093,0.3007,0.0904,0.0917,29,37
31,Y_Acc_Raw_Kurtosis,0.3047,0.0929,0.2987,0.0892,0.0911,30,40
32,Y_Acc_Filtered_Kurtosis,0.3013,0.0908,0.3021,0.0913,0.091,32,35
33,Z_Acc_Raw_Std,-0.1041,0.0108,-0.358,0.1282,0.0695,57,25
34,Y_Acc_Raw_PeakPower1,-0.112,0.0126,-0.3532,0.1247,0.0686,51,26
35,Y_Acc_Filtered_PeakPower1,-0.112,0.0126,-0.3532,0.1247,0.0686,52,27
36,Z_Acc_Raw_SpectralBandwidth,0.3068,0.0941,0.1904,0.0362,0.0652,25,68
37,Y_Displacement_Std,-0.0787,0.0062,-0.3405,0.116,0.0611,71,29
38,Y_Displacement_RMS,-0.0787,0.0062,-0.3405,0.116,0.0611,72,30
39,Y_Acc_Filtered_Skew,0.2218,0.0492,0.2698,0.0728,0.061,38,49
40,Y_Acc_Raw_Skew,0.2294,0.0526,0.2631,0.0692,0.0609,36,56
41,Y_Acc_Raw_PeakFreq3_Refined,0.2046,0.0419,0.2719,0.0739,0.0579,42,45
42,Y_Acc_Filtered_PeakFreq3_Refined,0.2046,0.0419,0.2719,0.0739,0.0579,43,46
43,Y_Acc_Raw_PeakFreq3,0.2044,0.0418,0.2699,0.0728,0.0573,44,47
44,Y_Acc_Filtered_PeakFreq3,0.2044,0.0418,0.2699,0.0728,0.0573,44,47
45,Horizontal_Displacement_RMS,-0.0612,0.0037,-0.3127,0.0978,0.0508,80,31
46,Y_Velocity_Std,-0.0499,0.0025,-0.3091,0.0955,0.049,94,32
47,Z_Acc_Raw_PeakFreq1,0.213,0.0454,0.2214,0.049,0.0472,40,62
48,Z_Acc_Raw_PeakFreq1_Refined,0.2116,0.0448,0.2222,0.0494,0.0471,41,61
49,X_Acc_Raw_CrestFactor,0.1996,0.0399,0.2323,0.054,0.0469,46,59
50,Hydro_Interaction,-0.0135,0.0002,-0.3027,0.0916,0.0459,123,34
51,Z_Acc_Raw_Skew,0.1307,0.0171,0.2541,0.0645,0.0408,50,57
52,Z_Acc_Raw_CrestFactor,-0.0387,0.0015,-0.2829,0.0801,0.0408,100,41
53,Y_Acc_Filtered_PeakPower2,-0.0669,0.0045,-0.2762,0.0763,0.0404,75,43
54,Y_Acc_Raw_PeakPower2,-0.0669,0.0045,-0.2762,0.0763,0.0404,76,44
55,Y_Acc_Raw_RMS,-0.012,0.0001,-0.2767,0.0765,0.0383,124,42
56,Z_Acc_Raw_PeakPower2,-0.0527,0.0028,-0.2694,0.0726,0.0377,92,50
57,Y_Acc_Raw_CrestFactor,0.2287,0.0523,0.1393,0.0194,0.0359,37,87
58,X_Displacement_Std,-0.0349,0.0012,-0.2648,0.0701,0.0357,106,54
59,X_Displacement_RMS,-0.0349,0.0012,-0.2648,0.0701,0.0357,107,55
60,Y_Acc_Filtered_CrestFactor,0.1992,0.0397,0.1774,0.0315,0.0356,47,77
61,Y_Acc_Raw_Std,-0.0091,0.0001,-0.266,0.0708,0.0354,126,51
62,Y_Acc_Filtered_Std,-0.0089,0.0001,-0.2657,0.0706,0.0353,127,52
63,Y_Acc_Filtered_RMS,-0.0089,0.0001,-0.2657,0.0706,0.0353,128,53
64,Z_Acc_Raw_PeakPower3,-0.0604,0.0037,-0.2525,0.0638,0.0337,81,58
65,Z_Acc_Raw_Kurtosis,0.2503,0.0626,0.025,0.0006,0.0316,33,120
66,Y_Acc_Filtered_SpectralBandwidth,0.2415,0.0583,0.0692,0.0048,0.0315,34,107
67,X_Velocity_Std,0.0052,0.0,-0.2294,0.0526,0.0263,132,60
68,Y_Acc_Raw_SpectralBandwidth,0.2215,0.049,0.0523,0.0027,0.0259,39,110
69,X_Acc_Raw_PeakPower1,-0.027,0.0007,-0.2197,0.0483,0.0245,112,63
70,X_Acc_Filtered_PeakPower1,-0.027,0.0007,-0.2197,0.0483,0.0245,113,64
71,X_Displacement_Kurtosis,0.151,0.0228,0.1493,0.0223,0.0226,49,83
72,X_Displacement_CrestFactor,0.1588,0.0252,0.1344,0.018,0.0216,48,89
73,Y_Acc_Filtered_PeakPower3,-0.0337,0.0011,-0.2014,0.0406,0.0208,109,65
74,Y_Acc_Raw_PeakPower3,-0.0337,0.0011,-0.2014,0.0406,0.0208,110,66
75,Y_Velocity_RMS,-0.0469,0.0022,-0.1939,0.0376,0.0199,95,67
76,Hs (m),0.0955,0.0091,-0.1712,0.0293,0.0192,64,79
77,X_Acc_Raw_Std,0.055,0.003,-0.1872,0.0351,0.019,90,69
78,X_Acc_Filtered_Std,0.0552,0.003,-0.187,0.035,0.019,89,70
79,X_Acc_Filtered_RMS,0.0552,0.003,-0.187,0.035,0.019,88,71
80,X_Acc_Raw_RMS,0.0549,0.003,-0.1857,0.0345,0.0188,91,72
81,X_Acc_Filtered_PeakPower2,0.0666,0.0044,-0.1815,0.0329,0.0187,78,74
82,X_Acc_Raw_PeakPower2,0.0666,0.0044,-0.1815,0.0329,0.0187,77,75
83,X_Velocity_Kurtosis,0.0275,0.0008,0.1819,0.0331,0.0169,111,73
84,X_Acc_Filtered_Kurtosis,-0.0353,0.0012,0.1796,0.0323,0.0168,105,76
85,X_Acc_Raw_Kurtosis,-0.0401,0.0016,0.1773,0.0314,0.0165,98,78
86,Biaxial_PeakFreq_Ratio,0.1066,0.0114,-0.1368,0.0187,0.015,54,88
87,Wave_Steepness,0.0575,0.0033,-0.1616,0.0261,0.0147,86,80
88,X_Acc_Filtered_PeakPower3,0.038,0.0014,-0.1589,0.0252,0.0133,101,81
89,X_Acc_Raw_PeakPower3,0.038,0.0014,-0.1589,0.0252,0.0133,102,82
90,Y_Velocity_CrestFactor,0.1057,0.0112,0.1134,0.0129,0.012,55,92
91,Y_Acc_Filtered_PeakFreq2_Refined,0.1036,0.0107,0.1117,0.0125,0.0116,58,93
92,Y_Acc_Raw_PeakFreq2_Refined,0.1036,0.0107,0.1117,0.0125,0.0116,59,94
93,X_Acc_Filtered_SpectralEntropy,-0.0186,0.0003,-0.1469,0.0216,0.011,119,84
94,X_Acc_Raw_SpectralEntropy,-0.0184,0.0003,-0.1469,0.0216,0.011,120,85
