Feature,Selected_rf,Rank_rf,Score_rf,Selected_xgb,Rank_xgb,Score_xgb,Selected_svr,Rank_svr,Score_svr,Selected_ridge,Rank_ridge,Score_ridge,Num_Families_Selected
SpectralCentroid_to_Peak_Ratio,True,8.0,0.001872,True,10.0,0.001176,False,,0.0,True,1.0,0.14386,3
X_Acc_Raw_PeakFreq1,True,1.0,0.224474,True,2.0,0.114047,True,1.0,0.023656,False,,0.0,3
Y_Acc_Raw_PeakFreq1,True,2.0,0.132815,True,1.0,0.18575,False,,0.0,True,10.0,0.002268,3
Wave_Raw_Skew,True,3.0,0.002281,True,5.0,-0.001209,False,,0.0,False,,0.0,2
X_Acc_Filtered_PeakFreq1_Diff1,False,,0.0,True,7.0,0.000997,False,,0.0,True,9.0,0.001,2
X_Acc_Raw_PeakFreq3,True,5.0,0.000774,True,8.0,0.001661,False,,0.0,False,,0.0,2
X_Acc_Raw_SpectralCentroid,True,10.0,-0.002138,False,,0.0,False,,0.0,True,3.0,0.048323,2
X_Displacement_Skew,True,9.0,-0.002293,False,,0.0,True,6.0,-0.002026,False,,0.0,2
Y_Acc_Raw_Skew,True,6.0,0.001663,False,,0.0,False,,0.0,True,6.0,0.007633,2
Biaxial_PeakFreq_Ratio,False,,0.0,False,,0.0,False,,0.0,True,4.0,0.026627,1
Tz (s),False,,0.0,True,4.0,0.008364,False,,0.0,False,,0.0,1
Wave_Filtered_CrestFactor,False,,0.0,False,,0.0,True,9.0,-0.001583,False,,0.0,1
Wave_Raw_RMS,False,,0.0,False,,0.0,False,,0.0,True,5.0,0.022369,1
Wave_Raw_Std,False,,0.0,False,,0.0,False,,0.0,True,2.0,0.072868,1
Wave_Steepness,False,,0.0,False,,0.0,False,,0.0,True,7.0,0.007396,1
X_Acc_Filtered_PeakFreq1_Lag1,False,,0.0,False,,0.0,True,5.0,9.3e-05,False,,0.0,1
X_Acc_Raw_CrestFactor,False,,0.0,False,,0.0,True,10.0,-0.001459,False,,0.0,1
X_Acc_Raw_SpectralBandwidth,False,,0.0,True,3.0,0.00394,False,,0.0,False,,0.0,1
Y_Acc_Filtered_CrestFactor,False,,0.0,False,,0.0,True,4.0,0.00102,False,,0.0,1
Y_Acc_Filtered_PeakFreq1_Lag1,False,,0.0,False,,0.0,False,,0.0,True,8.0,0.005208,1
Y_Acc_Filtered_PeakFreq1_RollStd3,False,,0.0,True,9.0,4.5e-05,False,,0.0,False,,0.0,1
Y_Acc_Raw_Kurtosis,False,,0.0,True,6.0,0.002648,False,,0.0,False,,0.0,1
Y_Acc_Raw_PeakFreq2,False,,0.0,False,,0.0,True,3.0,0.00386,False,,0.0,1
Y_Acc_Raw_PeakFreq3,False,,0.0,False,,0.0,True,8.0,-0.000962,False,,0.0,1
Y_Displacement_Skew,False,,0.0,False,,0.0,True,7.0,-0.002185,False,,0.0,1
Z_Acc_Raw_Kurtosis,True,7.0,-0.00098,False,,0.0,False,,0.0,False,,0.0,1
Z_Acc_Raw_PeakFreq2,True,4.0,0.002121,False,,0.0,False,,0.0,False,,0.0,1
Z_Acc_Raw_PeakPower2,False,,0.0,False,,0.0,True,2.0,0.003247,False,,0.0,1
